# File: SSPs_IMAGE_emf_agg_middle_2025-05-22.csv
# Title: GAINS model emission factors
# Units: emission factors
# Source: GAINS model
# Description: GAINS emission factor data by sector and gas for historical and modeled years
# Column types: ccccnnnnnnnnnnnnnnn
# ----------
scen,Group_Region,EMF30_AGG,POLLUTANT_FRACTION,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,End_Use_Residential_Coal,SO2,0.6090238565592003,0.5952479814366397,0.5873586181950652,0.5684601994401814,0.5586770373985654,0.534278699391043,0.5151264664611204,0.4941088140744755,0.47552880406699805,0.4590230296449794,0.44438263971577086,0.43265966333946604,0.42196911514323565,0.4099855599422369,0.39916834427221165
SSP1,AFRI_EAST,End_Use_Residential_Coal,VOC,0.08737882819858568,0.08420279900959195,0.08340154935788471,0.08133128313389514,0.07984985151647336,0.07621316751978767,0.07414305039465252,0.07024612568591757,0.06673761670385193,0.0635624939690404,0.0606891318566934,0.059000773120617474,0.05746875154242298,0.05433164255685309,0.05140973181199339
SSP1,AFRI_EAST,End_Use_Residential_HLF,CO,0.0198875,0.0198875,0.0198875,0.0198875,0.0198875,0.02155375,0.0232199999999999,0.02488625,0.0265525,0.02821875,0.029885,0.03155125,0.0332175,0.03488375,0.03655
SSP1,AFRI_EAST,End_Use_Residential_HLF,NH3,0.0008787140452166656,0.0008521734590332375,0.0008458920457326657,0.0008230925607937344,0.0008083384654169656,0.0007719389189957844,0.0007490205595597797,0.0007121499850591343,0.0006790875988555891,0.00064928534312585,0.0006224282472162984,0.0006053424836189078,0.0005898137364312984,0.0005621197049393984,0.0005364485485340374
SSP1,AFRI_EAST,End_Use_Residential_HLF,NOX,0.05975365022627611,0.0582907700495946,0.057438839721085586,0.055525493404758416,0.054578597908338154,0.05224587954380773,0.050327136974424334,0.048415415109614335,0.04674921346833758,0.045293358529510816,0.04402763595361786,0.0429361216193742,0.0422251593194016,0.0421125796597008,0.042
SSP1,AFRI_EAST,End_Use_Residential_HLF,PM_BC,0.0003570324781253,0.0003543587582482,0.0003516850383711,0.0003516850383711,0.0003516850383711,0.000367303534534,0.0003829220306968,0.0003985405268597,0.0004141590230226,0.0004297775191855,0.0004453960153484,0.0004610145115113,0.0004766330076742,0.0004922515038371,0.00050787
SSP1,AFRI_EAST,End_Use_Residential_HLF,PM_OC,6.715406569490952e-05,6.70522827954106e-05,6.695049989591168e-05,6.695049989591168e-05,6.695049989591168e-05,7.228394990632051e-05,7.761739991672934e-05,8.295084992713817e-05,8.828429993754702e-05,9.361774994795584e-05,9.895119995836468e-05,0.0001042846499687,0.0001096180999791,0.0001149515499895,0.000120285
SSP1,AFRI_EAST,End_Use_Residential_HLF,SO2,0.09578197390126524,0.09189802081339704,0.09125094989449085,0.08886451309607332,0.08726191339554641,0.08316295344373309,0.08066679315639398,0.07637820569559946,0.07245486056199459,0.06883722734850954,0.06549109373226665,0.06341740133267594,0.06151283309612839,0.05767109588400233,0.0539522734541268
SSP1,AFRI_EAST,End_Use_Residential_HLF,VOC,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.0029999999999999,0.003,0.003,0.003,0.003,0.003,0.003
SSP1,AFRI_EAST,End_Use_Residential_LLF,CO,0.04639609700192085,0.04297099818712765,0.04035521392457444,0.03781523491609988,0.03642238009251646,0.03458694158722013,0.03306963932930551,0.031468393881630974,0.029932105661272183,0.028437507589101,0.026971227997381025,0.02581065926797676,0.024716191636779,0.02293664159422876,0.021049541204934092
SSP1,AFRI_EAST,End_Use_Residential_LLF,NH3,0.003059822836594619,0.0023731770863617625,0.0017846218920974314,0.0013853280994741844,0.0011209843153857843,0.0010686649081314782,0.00103808076605015,0.000982300233539625,0.0009314712341783404,0.0008848239629685084,0.0008419160104182585,0.0008161286442509733,0.00079252827179618,0.0007434591597424361,0.0006964364513652328
SSP1,AFRI_EAST,End_Use_Residential_LLF,NOX,0.0335261409041444,0.0335261409041444,0.0335261409041444,0.0335261409041444,0.0335261409041444,0.0301735268137299,0.0268209127233155,0.023468298632901,0.02043240056034967,0.019414066000303123,0.01837486316775837,0.01743735196151348,0.016543135062443426,0.015239625059777969,0.013786840575162853
SSP1,AFRI_EAST,End_Use_Residential_LLF,PM_BC,0.13205767862910253,0.09966852862040278,0.07464492946742204,0.05797990255532082,0.04738253690454318,0.04509166977346471,0.04349214790951475,0.041258088980719136,0.03917712142809218,0.03721772900613472,0.03536179922376931,0.034082727912330316,0.03289319334193896,0.030710581532409936,0.028512496330228107
SSP1,AFRI_EAST,End_Use_Residential_LLF,PM_OC,0.0046133745036811375,0.004533298398755137,0.00445447856222125,0.004294916745794475,0.0042231656430865155,0.0040078205423714625,0.00382212773832435,0.0036404004516492157,0.003464416441927495,0.0032915104320158125,0.003120150678277778,0.0029795663749111628,0.002846554046747678,0.0026367622161555513,0.0024112550073328593
SSP1,AFRI_EAST,End_Use_Residential_LLF,SO2,0.055301040701768514,0.047092626909841714,0.03914017754493846,0.032351793377612945,0.027187843368231015,0.025938532218031784,0.02527256741400955,0.023889120304349136,0.022639654416295923,0.021505246593830386,0.02047502163626949,0.019896310344475213,0.019371359191096,0.018208077922777777,0.017119628560708075
SSP1,AFRI_EAST,End_Use_Residential_LLF,VOC,0.0038212689303307452,0.003448461957766175,0.0031467456445321545,0.002889432043115409,0.0027387582362228217,0.002601721072292619,0.0024914053889977905,0.0023694776181067655,0.002253126235170042,0.0021405890989451,0.0020308535010009295,0.0019459131015392578,0.0018659788943324374,0.0017335028783599907,0.0015941951496613736
SSP1,AFRI_EAST,End_Use_Residential_NatGas,CO,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
SSP1,AFRI_EAST,End_Use_Residential_NatGas,NH3,0.00023,0.00023,0.0002299999999999,0.0002299999999999,0.0002299999999999,0.0002299999999999,0.0002299999999999,0.0002299999999999,0.0002299999999999,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023
SSP1,AFRI_EAST,End_Use_Residential_NatGas,NOX,0.055576952755632826,0.054211230285983035,0.05357652908001097,0.0519253250816434,0.051022013119800806,0.04880673324377292,0.04715709373657675,0.04517271383287655,0.0434259095755194,0.04188312640388641,0.040525080400422755,0.03949890891501062,0.03856806496489204,0.03744283336799987,0.03645029378780088
