# File:Corine_LT_km2.csv
# Title: Corine_LT
# Year 2010: TBD how to extrapolate to 2015
# Units: km2
# Original source: https://land.copernicus.eu/pan-european/corine-land-cover
# Description: Land cover from Corine in 2010 per country and GLU
# Column types: ccciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
country,iso,glu_code,Agro-forestry areas,Airports,Annual crops associated with permanent crops,Bare rocks,"Beaches, dunes, sands",Broad-leaved forest,Burnt areas,Coastal lagoons,Complex cultivation patterns,Coniferous forest,Construction sites,Continuous urban fabric,Discontinuous urban fabric,Dump sites,Estuaries,Fruit trees and berry plantations,Glaciers and perpetual snow,Green urban areas,Industrial or commercial units,Inland marshes,Peat bogs,Intertidal flats,"Land principally occupied by agriculture, with significant areas of natural vegetation",Mineral extraction sites,Mixed forest,Moors and heathland,Natural grasslands,Non-irrigated arable land,Olive groves,Pastures,Permanently irrigated land,Port areas,Rice fields,Road and rail networks and associated land,Salines,Salt marshes,Sclerophyllous vegetation,Sea and ocean,Sparsely vegetated areas,Sport and leisure facilities,Transitional woodland-shrub,Vineyards,Water bodies
Estonia,est,GLU022,0,6,0,0,5,1119,0,0,895,2902,1,2,192,27,0,6,0,7,62,299,355,0,1653,24,3718,1,85,3255,0,828,0,0,0,5,0,0,0,0,0,7,1799,0,406
Estonia,est,GLU025,0,0,0,0,0,2,0,0,2,35,0,0,1,0,0,0,0,0,0,0,0,0,15,0,25,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,19,0,5
Finland,fin,GLU008,0,0,0,0,0,0,0,0,0,14823,0,0,0,0,0,0,0,0,0,0,4614,0,247,0,4292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6643,0,2603
Finland,fin,GLU012,0,0,0,0,0,0,0,0,0,0,0,0,11069,0,0,0,0,0,3307,0,0,0,5526,0,0,0,0,3653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,fin,GLU013,0,100,0,4,10,2407,0,0,0,79747,21,0,4775,50,0,0,0,104,703,322,10295,0,16154,267,84754,0,0,21257,0,35,0,25,0,32,0,84,0,45,0,232,30045,0,23329
Finland,fin,GLU017,0,0,0,0,0,27,0,0,0,1113,0,0,26,0,0,0,0,0,2,6,52,0,313,1,1294,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,352,0,336
France,fra,GLU032,0,73,0,0,0,7821,0,0,1445,1824,4,26,1977,23,0,235,0,14,372,28,4,0,516,96,1876,88,78,9194,0,6414,0,4,0,39,0,0,0,0,0,83,721,200,159
France,fra,GLU036,0,37,0,0,0,749,0,0,501,21,7,63,2357,51,0,2,0,30,436,61,0,0,179,20,6,11,0,1091,0,1223,0,0,0,51,0,0,0,0,0,61,83,0,39
France,fra,GLU041,0,86,1,325,152,10089,5,4,19951,8223,19,76,5809,8,89,35,1,32,827,509,19,502,3248,159,2136,850,1349,30854,0,13383,0,65,0,80,50,293,0,2,292,316,3230,1466,495
France,fra,GLU044,0,72,5,6,31,17397,0,0,17545,8223,17,70,4550,7,8,262,0,36,778,106,5,1,4631,159,4394,604,579,28645,0,28025,0,0,0,81,0,2,0,0,1,266,1284,906,472
France,fra,GLU046,0,193,0,0,0,23607,0,0,2009,2168,35,177,5901,7,24,41,0,180,1013,97,1,0,2020,195,1244,237,59,24283,0,8919,0,14,0,148,0,2,0,0,5,377,1106,710,510
France,fra,GLU057,0,0,0,127,0,3,0,0,1,43,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,7,136,0,0,1,0,0,0,0,0,0,0,0,83,0,16,0,8
France,fra,GLU060,0,1,0,0,0,65,0,0,43,4,0,2,61,0,0,0,0,4,4,0,0,4,18,0,8,3,50,15,0,72,0,0,0,1,0,0,0,0,0,5,1,0,0
France,fra,GLU061,0,34,3,318,21,3548,86,503,2132,2824,7,54,1794,8,0,243,0,14,273,21,0,0,1018,90,2344,349,1824,447,51,403,0,12,2,42,71,134,3189,0,555,103,2020,3915,46
France,fra,GLU062,4,60,0,2608,106,18558,6,228,9495,9324,11,57,3593,6,0,763,143,27,645,117,7,0,2830,147,5769,1400,4807,10647,66,9535,0,7,126,106,23,265,1049,0,2295,163,2849,2450,449
France,fra,GLU063,0,9,0,309,9,2007,7,20,386,456,0,1,124,1,0,55,0,1,13,7,0,0,281,6,217,270,874,43,1,180,0,0,0,0,0,3,1763,0,655,9,956,82,8
France,fra,GLU064,0,33,31,220,0,16224,11,0,16124,5609,16,59,2027,2,0,361,1,14,316,15,19,0,3976,129,4399,695,3087,7846,0,12330,0,0,0,49,0,1,1,0,457,93,2514,2070,204
France,fra,GLU073,0,0,0,214,0,61,0,0,20,93,0,0,8,0,0,0,2,0,0,1,0,0,8,1,54,39,261,9,0,36,1,0,0,0,0,0,0,0,193,0,35,0,4
United Kingdom,gbr,GLU016,0,72,0,167,177,1138,15,0,17,9284,18,27,1269,9,62,0,0,56,239,21,18996,156,263,118,634,12545,7276,8281,0,12605,0,12,1,19,1,32,0,120,2135,369,1703,0,1202
United Kingdom,gbr,GLU024,0,16,0,1,11,75,0,0,263,523,2,27,403,2,4,0,0,9,53,3,565,20,176,31,28,639,1043,335,0,9089,0,2,0,0,0,0,0,0,0,82,180,0,571
