# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Africa_Western,Soybean,2025,2.75552
3C,Africa_Western,SugarCrop,2015,13.2292
3C,Africa_Western,SugarCrop,2020,14.8138
3C,Africa_Western,SugarCrop,2025,17.683
3C,Africa_Western,Vegetables,2015,4.93757
3C,Africa_Western,Vegetables,2020,5.52334
3C,Africa_Western,Vegetables,2025,6.57534
3C,Africa_Western,Wheat,2015,19.6158
3C,Africa_Western,Wheat,2020,22.7411
3C,Africa_Western,Wheat,2025,25.5467
3C,Argentina,Beef,2015,3.25416
3C,Argentina,Beef,2020,3.19579
3C,Argentina,Beef,2025,3.51726
3C,Argentina,Corn,2015,1.15426
3C,Argentina,Corn,2020,1.22276
3C,Argentina,Corn,2025,1.21965
3C,Argentina,Dairy,2015,2.89686
3C,Argentina,Dairy,2020,2.84585
3C,Argentina,Dairy,2025,3.15017
3C,Argentina,FiberCrop,2015,0.0203349
3C,Argentina,FiberCrop,2020,0.0201177
3C,Argentina,FiberCrop,2025,0.02246
3C,Argentina,Fruits,2015,0.864336
3C,Argentina,Fruits,2020,0.850208
3C,Argentina,Fruits,2025,0.940812
3C,Argentina,Legumes,2015,0.214189
3C,Argentina,Legumes,2020,0.210709
3C,Argentina,Legumes,2025,0.233653
3C,Argentina,MiscCrop,2015,0.142495
3C,Argentina,MiscCrop,2020,0.140204
3C,Argentina,MiscCrop,2025,0.155325
3C,Argentina,NutsSeeds,2015,0.0685418
3C,Argentina,NutsSeeds,2020,0.0672376
3C,Argentina,NutsSeeds,2025,0.0745195
3C,Argentina,OilCrop,2015,2.91058
3C,Argentina,OilCrop,2020,2.88613
3C,Argentina,OilCrop,2025,3.21825
3C,Argentina,OtherGrain,2015,0.676588
3C,Argentina,OtherGrain,2020,0.717307
3C,Argentina,OtherGrain,2025,0.717326
3C,Argentina,OtherMeat_Fish,2015,0.520748
3C,Argentina,OtherMeat_Fish,2020,0.51016
3C,Argentina,OtherMeat_Fish,2025,0.565151
3C,Argentina,Pork,2015,1.24639
3C,Argentina,Pork,2020,1.22552
3C,Argentina,Pork,2025,1.35973
3C,Argentina,Poultry,2015,2.2766
3C,Argentina,Poultry,2020,2.23221
3C,Argentina,Poultry,2025,2.47874
3C,Argentina,Rice,2015,0.995132
3C,Argentina,Rice,2020,1.05288
3C,Argentina,Rice,2025,1.05124
3C,Argentina,RootTuber,2015,1.04174
3C,Argentina,RootTuber,2020,1.10101
3C,Argentina,RootTuber,2025,1.09908
3C,Argentina,SheepGoat,2015,0.089906
3C,Argentina,SheepGoat,2020,0.0883444
3C,Argentina,SheepGoat,2025,0.09752
3C,Argentina,Soybean,2015,0.706239
3C,Argentina,Soybean,2020,0.696095
3C,Argentina,Soybean,2025,0.773492
3C,Argentina,SugarCrop,2015,4.47796
3C,Argentina,SugarCrop,2020,4.40274
3C,Argentina,SugarCrop,2025,4.86297
3C,Argentina,Vegetables,2015,0.52616
3C,Argentina,Vegetables,2020,0.517973
3C,Argentina,Vegetables,2025,0.573401
3C,Argentina,Wheat,2015,9.21105
3C,Argentina,Wheat,2020,9.80245
3C,Argentina,Wheat,2025,9.85075
3C,Australia_NZ,Beef,2015,1.11276
3C,Australia_NZ,Beef,2020,1.21749
3C,Australia_NZ,Beef,2025,1.29401
3C,Australia_NZ,Corn,2015,0.303111
3C,Australia_NZ,Corn,2020,0.32314
3C,Australia_NZ,Corn,2025,0.331958
3C,Australia_NZ,Dairy,2015,3.64203
3C,Australia_NZ,Dairy,2020,3.98989
3C,Australia_NZ,Dairy,2025,4.24917
3C,Australia_NZ,FiberCrop,2015,0.442374
3C,Australia_NZ,FiberCrop,2020,0.484038
3C,Australia_NZ,FiberCrop,2025,0.514258
3C,Australia_NZ,Fruits,2015,0.754164
3C,Australia_NZ,Fruits,2020,0.82689
3C,Australia_NZ,Fruits,2025,0.880192
3C,Australia_NZ,Legumes,2015,0.0893089
3C,Australia_NZ,Legumes,2020,0.0988863
3C,Australia_NZ,Legumes,2025,0.10624
3C,Australia_NZ,MiscCrop,2015,0.39595
3C,Australia_NZ,MiscCrop,2020,0.434466
3C,Australia_NZ,MiscCrop,2025,0.463083
3C,Australia_NZ,NutsSeeds,2015,0.616773
3C,Australia_NZ,NutsSeeds,2020,0.675814
3C,Australia_NZ,NutsSeeds,2025,0.722003
3C,Australia_NZ,OilCrop,2015,2.23496
3C,Australia_NZ,OilCrop,2020,2.4565
3C,Australia_NZ,OilCrop,2025,2.63865
3C,Australia_NZ,OilPalm,2015,0.5726
3C,Australia_NZ,OilPalm,2020,0.629249
3C,Australia_NZ,OilPalm,2025,0.671454
3C,Australia_NZ,OtherGrain,2015,0.974325
3C,Australia_NZ,OtherGrain,2020,1.06265
3C,Australia_NZ,OtherGrain,2025,1.10154
3C,Australia_NZ,OtherMeat_Fish,2015,1.03359
3C,Australia_NZ,OtherMeat_Fish,2020,1.13327
3C,Australia_NZ,OtherMeat_Fish,2025,1.20825
3C,Australia_NZ,Pork,2015,0.82037
3C,Australia_NZ,Pork,2020,0.903023
3C,Australia_NZ,Pork,2025,0.965554
3C,Australia_NZ,Poultry,2015,1.61991
3C,Australia_NZ,Poultry,2020,1.78412
3C,Australia_NZ,Poultry,2025,1.90941
3C,Australia_NZ,Rice,2015,0.681801
3C,Australia_NZ,Rice,2020,0.729213
3C,Australia_NZ,Rice,2025,0.743076
3C,Australia_NZ,RootTuber,2015,0.795653
3C,Australia_NZ,RootTuber,2020,0.855399
3C,Australia_NZ,RootTuber,2025,0.876253
3C,Australia_NZ,SheepGoat,2015,0.584532
3C,Australia_NZ,SheepGoat,2020,0.640531
3C,Australia_NZ,SheepGoat,2025,0.681508
3C,Australia_NZ,Soybean,2015,0.161608
3C,Australia_NZ,Soybean,2020,0.177745
3C,Australia_NZ,Soybean,2025,0.190592
3C,Australia_NZ,SugarCrop,2015,3.20054
3C,Australia_NZ,SugarCrop,2020,3.5162
3C,Australia_NZ,SugarCrop,2025,3.75296
3C,Australia_NZ,Vegetables,2015,0.527554
3C,Australia_NZ,Vegetables,2020,0.578159
3C,Australia_NZ,Vegetables,2025,0.615281
3C,Australia_NZ,Wheat,2015,4.78568
3C,Australia_NZ,Wheat,2020,5.19958
3C,Australia_NZ,Wheat,2025,5.38159
3C,Brazil,Beef,2015,8.54916
3C,Brazil,Beef,2020,8.59053
3C,Brazil,Beef,2025,9.16585
3C,Brazil,Corn,2015,12.69
3C,Brazil,Corn,2020,13.3443
3C,Brazil,Corn,2025,13.43
3C,Brazil,Dairy,2015,14.7228
3C,Brazil,Dairy,2020,14.7777
3C,Brazil,Dairy,2025,15.8079
3C,Brazil,FiberCrop,2015,1.81172
3C,Brazil,FiberCrop,2020,1.84086
3C,Brazil,FiberCrop,2025,1.98584
3C,Brazil,Fruits,2015,6.63041
3C,Brazil,Fruits,2020,6.67466
3C,Brazil,Fruits,2025,7.14621
3C,Brazil,Legumes,2015,6.77985
3C,Brazil,Legumes,2020,6.87054
3C,Brazil,Legumes,2025,7.39991
3C,Brazil,MiscCrop,2015,0.519515
3C,Brazil,MiscCrop,2020,0.523414
3C,Brazil,MiscCrop,2025,0.560718
3C,Brazil,NutsSeeds,2015,0.641905
3C,Brazil,NutsSeeds,2020,0.651574
3C,Brazil,NutsSeeds,2025,0.70465
3C,Brazil,OilCrop,2015,3.93642
3C,Brazil,OilCrop,2020,4.11169
3C,Brazil,OilCrop,2025,4.51389
3C,Brazil,OilPalm,2015,3.52484
3C,Brazil,OilPalm,2020,3.56987
3C,Brazil,OilPalm,2025,3.83271
3C,Brazil,OtherGrain,2015,5.10074
3C,Brazil,OtherGrain,2020,5.35121
3C,Brazil,OtherGrain,2025,5.38095
3C,Brazil,OtherMeat_Fish,2015,1.68383
3C,Brazil,OtherMeat_Fish,2020,1.69139
3C,Brazil,OtherMeat_Fish,2025,1.81187
3C,Brazil,Pork,2015,7.08715
3C,Brazil,Pork,2020,7.13346
3C,Brazil,Pork,2025,7.64269
3C,Brazil,Poultry,2015,10.5836
3C,Brazil,Poultry,2020,10.6571
3C,Brazil,Poultry,2025,11.4343
3C,Brazil,Rice,2015,15.9719
3C,Brazil,Rice,2020,16.7254
3C,Brazil,Rice,2025,16.8225
3C,Brazil,RootTuber,2015,7.78587
3C,Brazil,RootTuber,2020,8.11799
3C,Brazil,RootTuber,2025,8.12
3C,Brazil,SheepGoat,2015,0.168924
3C,Brazil,SheepGoat,2020,0.16993
3C,Brazil,SheepGoat,2025,0.181255
3C,Brazil,Soybean,2015,16.5653
3C,Brazil,Soybean,2020,16.741
3C,Brazil,Soybean,2025,18.0577
3C,Brazil,SugarCrop,2015,23.4704
3C,Brazil,SugarCrop,2020,23.6577
3C,Brazil,SugarCrop,2025,25.3948
3C,Brazil,Vegetables,2015,2.03877
3C,Brazil,Vegetables,2020,2.05382
3C,Brazil,Vegetables,2025,2.20013
3C,Brazil,Wheat,2015,19.1717
3C,Brazil,Wheat,2020,20.1151
3C,Brazil,Wheat,2025,20.2992
3C,Canada,Beef,2015,0.984809
3C,Canada,Beef,2020,1.0463
3C,Canada,Beef,2025,1.10837
3C,Canada,Corn,2015,1.42655
3C,Canada,Corn,2020,1.50624
3C,Canada,Corn,2025,1.52781
3C,Canada,Dairy,2015,2.83008
3C,Canada,Dairy,2020,3.01143
3C,Canada,Dairy,2025,3.19696
3C,Canada,FiberCrop,2015,0.0041062
3C,Canada,FiberCrop,2020,0.00436295
3C,Canada,FiberCrop,2025,0.00461201
3C,Canada,Fruits,2015,1.05902
3C,Canada,Fruits,2020,1.12855
3C,Canada,Fruits,2025,1.19621
3C,Canada,Legumes,2015,0.767846
3C,Canada,Legumes,2020,0.817224
3C,Canada,Legumes,2025,0.866762
3C,Canada,MiscCrop,2015,0.299473
3C,Canada,MiscCrop,2020,0.31958
3C,Canada,MiscCrop,2025,0.339222
3C,Canada,NutsSeeds,2015,0.863604
3C,Canada,NutsSeeds,2020,0.92118
3C,Canada,NutsSeeds,2025,0.9833
3C,Canada,OilCrop,2015,3.87579
3C,Canada,OilCrop,2020,4.14151
3C,Canada,OilCrop,2025,4.42997
3C,Canada,OilPalm,2015,0
3C,Canada,OilPalm,2020,0
3C,Canada,OilPalm,2025,0
3C,Canada,OtherGrain,2015,0.960228
3C,Canada,OtherGrain,2020,1.01966
3C,Canada,OtherGrain,2025,1.03391
3C,Canada,OtherMeat_Fish,2015,0.435453
3C,Canada,OtherMeat_Fish,2020,0.463318
3C,Canada,OtherMeat_Fish,2025,0.491836
3C,Canada,Pork,2015,1.98611
3C,Canada,Pork,2020,2.11716
3C,Canada,Pork,2025,2.25048
3C,Canada,Poultry,2015,1.76195
3C,Canada,Poultry,2020,1.87809
3C,Canada,Poultry,2025,1.99706
3C,Canada,Rice,2015,0.951442
3C,Canada,Rice,2020,1.00384
3C,Canada,Rice,2025,1.01562
3C,Canada,RootTuber,2015,1.3576
3C,Canada,RootTuber,2020,1.43749
3C,Canada,RootTuber,2025,1.45252
3C,Canada,SheepGoat,2015,0.0556421
3C,Canada,SheepGoat,2020,0.0591277
3C,Canada,SheepGoat,2025,0.0631462
3C,Canada,Soybean,2015,0.238526
3C,Canada,Soybean,2020,0.255335
3C,Canada,Soybean,2025,0.272786
3C,Canada,SugarCrop,2015,3.34909
3C,Canada,SugarCrop,2020,3.57223
3C,Canada,SugarCrop,2025,3.80178
3C,Canada,Vegetables,2015,0.627072
3C,Canada,Vegetables,2020,0.667957
3C,Canada,Vegetables,2025,0.708028
3C,Canada,Wheat,2015,5.15372
3C,Canada,Wheat,2020,5.50796
3C,Canada,Wheat,2025,5.62062
3C,Central America and Caribbean,Beef,2015,1.21279
3C,Central America and Caribbean,Beef,2020,1.25699
3C,Central America and Caribbean,Beef,2025,1.45028
3C,Central America and Caribbean,Corn,2015,11.2466
3C,Central America and Caribbean,Corn,2020,11.9471
3C,Central America and Caribbean,Corn,2025,12.1779
3C,Central America and Caribbean,Dairy,2015,3.52338
3C,Central America and Caribbean,Dairy,2020,3.62818
3C,Central America and Caribbean,Dairy,2025,4.18197
3C,Central America and Caribbean,FiberCrop,2015,0.0088499
3C,Central America and Caribbean,FiberCrop,2020,0.00914656
3C,Central America and Caribbean,FiberCrop,2025,0.0105388
3C,Central America and Caribbean,Fruits,2015,3.77218
3C,Central America and Caribbean,Fruits,2020,3.89337
3C,Central America and Caribbean,Fruits,2025,4.48794
3C,Central America and Caribbean,Legumes,2015,3.06212
3C,Central America and Caribbean,Legumes,2020,3.18816
3C,Central America and Caribbean,Legumes,2025,3.69571
3C,Central America and Caribbean,MiscCrop,2015,0.338334
3C,Central America and Caribbean,MiscCrop,2020,0.349699
3C,Central America and Caribbean,MiscCrop,2025,0.403708
3C,Central America and Caribbean,NutsSeeds,2015,0.52805
3C,Central America and Caribbean,NutsSeeds,2020,0.54207
3C,Central America and Caribbean,NutsSeeds,2025,0.623119
3C,Central America and Caribbean,OilCrop,2015,1.2439
3C,Central America and Caribbean,OilCrop,2020,1.28843
3C,Central America and Caribbean,OilCrop,2025,1.48628
3C,Central America and Caribbean,OilPalm,2015,2.71966
3C,Central America and Caribbean,OilPalm,2020,2.80803
3C,Central America and Caribbean,OilPalm,2025,3.23714
3C,Central America and Caribbean,OtherGrain,2015,1.50796
3C,Central America and Caribbean,OtherGrain,2020,1.60546
3C,Central America and Caribbean,OtherGrain,2025,1.64012
3C,Central America and Caribbean,OtherMeat_Fish,2015,1.01586
3C,Central America and Caribbean,OtherMeat_Fish,2020,1.0463
3C,Central America and Caribbean,OtherMeat_Fish,2025,1.20913
3C,Central America and Caribbean,Pork,2015,1.52933
3C,Central America and Caribbean,Pork,2020,1.57946
3C,Central America and Caribbean,Pork,2025,1.82666
3C,Central America and Caribbean,Poultry,2015,3.02068
3C,Central America and Caribbean,Poultry,2020,3.11709
3C,Central America and Caribbean,Poultry,2025,3.60855
3C,Central America and Caribbean,Rice,2015,8.70327
3C,Central America and Caribbean,Rice,2020,9.18842
3C,Central America and Caribbean,Rice,2025,9.33646
3C,Central America and Caribbean,RootTuber,2015,2.71886
3C,Central America and Caribbean,RootTuber,2020,2.87994
3C,Central America and Caribbean,RootTuber,2025,2.92816
3C,Central America and Caribbean,SheepGoat,2015,0.0548234
3C,Central America and Caribbean,SheepGoat,2020,0.0565983
3C,Central America and Caribbean,SheepGoat,2025,0.065139
3C,Central America and Caribbean,Soybean,2015,3.43792
3C,Central America and Caribbean,Soybean,2020,3.55969
3C,Central America and Caribbean,Soybean,2025,4.13144
3C,Central America and Caribbean,SugarCrop,2015,10.3569
3C,Central America and Caribbean,SugarCrop,2020,10.7002
3C,Central America and Caribbean,SugarCrop,2025,12.332
3C,Central America and Caribbean,Vegetables,2015,0.970159
3C,Central America and Caribbean,Vegetables,2020,1.00129
3C,Central America and Caribbean,Vegetables,2025,1.15402
3C,Central America and Caribbean,Wheat,2015,7.61324
3C,Central America and Caribbean,Wheat,2020,8.09235
3C,Central America and Caribbean,Wheat,2025,8.27126
3C,Central Asia,Beef,2015,2.87836
3C,Central Asia,Beef,2020,3.23133
3C,Central Asia,Beef,2025,3.71731
3C,Central Asia,Corn,2015,1.43003
3C,Central Asia,Corn,2020,1.52136
3C,Central Asia,Corn,2025,1.58227
3C,Central Asia,Dairy,2015,10.2254
3C,Central Asia,Dairy,2020,11.4235
