# File: GCAM_FoodWaste_Share_Pathway_SSP.csv
# Title: Share of food waste per food calorie supply projections by SSP
# Unit: Share
# Description: Base year data derived based on three food groups including animal  FruitsVeg  and other. Projection based on the relatioship with income with a ceiling. Half waste reduction by 2050 is produced
# Source: Derived based on AgMIP and FAO
# Column types: cciinn
# ----------
GCAM_commodity,scenario,GCAM_region_ID,year,WasteShare,HalfWaste2050
Beef,gSSP3,9,2015,0.255717443,0.255717443
Beef,gSSP4,9,2015,0.255717443,0.255717443
Beef,gSSP5,9,2015,0.255717443,0.255717443
Beef,gSSP1,10,2015,0.291221875,0.291221875
Beef,gSSP2,10,2015,0.291221875,0.291221875
Beef,gSSP3,10,2015,0.291221875,0.291221875
Beef,gSSP4,10,2015,0.291221875,0.291221875
Beef,gSSP5,10,2015,0.291221875,0.291221875
Beef,gSSP1,11,2015,0.431711564,0.431711564
Beef,gSSP2,11,2015,0.431711564,0.431711564
Beef,gSSP3,11,2015,0.431711564,0.431711564
Beef,gSSP4,11,2015,0.431711564,0.431711564
Beef,gSSP5,11,2015,0.431711564,0.431711564
Beef,gSSP1,12,2015,0.349925537,0.349925537
Beef,gSSP2,12,2015,0.349925537,0.349925537
Beef,gSSP3,12,2015,0.349925537,0.349925537
Beef,gSSP4,12,2015,0.349925537,0.349925537
Beef,gSSP5,12,2015,0.349925537,0.349925537
Beef,gSSP1,13,2015,0.347192411,0.347192411
Beef,gSSP2,13,2015,0.347192411,0.347192411
Beef,gSSP3,13,2015,0.347192411,0.347192411
Beef,gSSP4,13,2015,0.347192411,0.347192411
Beef,gSSP5,13,2015,0.347192411,0.347192411
Beef,gSSP1,14,2015,0.185618419,0.185618419
Beef,gSSP2,14,2015,0.185618419,0.185618419
Beef,gSSP3,14,2015,0.185618419,0.185618419
Beef,gSSP4,14,2015,0.185618419,0.185618419
Beef,gSSP5,14,2015,0.185618419,0.185618419
Beef,gSSP1,15,2015,0.316720797,0.316720797
