# File: EDGAR_all_F_gases.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR GHG_2024 https://edgar.jrc.ec.europa.eu/dataset_ghg2024
# Comments: EDGAR inventory of F gases compounds c-C4F8, C2F6, C3F8, C4F10, C5F12, C6F14, CF4, HCFC-141b, HCFC-142b, HFC-125, HFC-134, HFC-134a, HFC-143, HFC-143a, HFC-152a, HFC-227ea, HFC-23, HFC-236fa, HFC-245fa, HFC-32, HFC-365mfc, HFC-41, HFC-43-10-mee, NF3, SF6
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_1996_for_standard_report,ipcc_code_1996_for_standard_report_name,Substance,fossil_bio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non-Annex_I,Central Europe,ALB,Albania,2F1a,Commerical refrigeration,HFC-134a,fossil,3.23E-05,0.000130383,0.000173486,0.000216272,0.000733493,0.001250715,0.001767937,0.002285158,0.00280238,0.003319601,0.007590521,0.010469064,0.012704571,0.015251327,0.018152787,0.021604576,0.022060962,0.022517349,0.022973736,0.023430122,0.023886509,0.024342895,0.024799282,0.025255669,0.029349928,0.035007314,0.041090751,0.046303817,0.052951063,0.058932313,0.0648795,0.071071394,0.077111505,0.083171235
Non-Annex_I,Central Europe,ALB,Albania,2F1a,Commerical refrigeration,HFC-143a,fossil,0,0,0,2.40E-05,6.05E-05,0.000140485,0.000297255,0.00046522,0.000703091,0.000991726,0.001310433,0.001602444,0.001935778,0.002301215,0.002604321,0.003195829,0.00351174,0.003700463,0.003935275,0.004001953,0.003935177,0.004068739,0.0042023,0.004335861,0.004469422,0.004602983,0.005372054,0.006275494,0.007386826,0.008314774,0.00929568,0.010302409,0.01127427,0.012260769
Non-Annex_I,Central Europe,ALB,Albania,2F4,Aerosols,HFC-152a,fossil,7.32E-06,0.000802485,0.001577907,0.002310946,0.00318643,0.00405254,0.004916448,0.005716449,0.006620735,0.007452222,0.008004684,0.007545927,0.008049006,0.008517355,0.008440691,0.007659831,0.009087695,0.010515558,0.011943422,0.013371286,0.014517725,0.014781685,0.014208113,0.014629649,0.014764916,0.014699397,0.014669393,0.015672761,0.016387839,0.016950653,0.017711073,0.01839051,0.019058067,0.019760539
Non-Annex_I,Central Europe,ALB,Albania,2F4,Aerosols,HFC-227ea,fossil,0,0,0,0,0,9.41E-06,3.93E-05,7.95E-05,0.000156308,0.00024168,0.000372953,0.000510364,0.000659532,0.000817663,0.000962156,0.000982293,0.001078457,0.001125345,0.001133552,0.001163772,0.001199407,0.001184596,0.001163163,0.001213266,0.001274271,0.00132278,0.001383257,0.001429003,0.001498285,0.001556787,0.00161463,0.001676506,0.001735912,0.001795621
Non-Annex_I,Central Europe,ALB,Albania,2F2a,Closed cell foam,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0,5.26E-06,0.00060103,0.000549291,0.000582746,0.00117201,0.001641915,0.002449991,0.003094771,0.003562922,0.003755454,0.003947921,0.003846472,0.004092665,0.004466823,0.004614686,0.00508533,0.005378285,0.005682106,0.006037912,0.00635544,0.006681158,0.007014175
Non-Annex_I,Central Europe,ALB,Albania,2F1a,Commerical refrigeration,HFC-32,fossil,0,0,0,0,0,0,0,0,0,0.000162814,0.000325629,0.000488414,0.000651187,0.000813953,0.000976712,0.001075933,0.00085749,0.000870974,0.000884459,0.000897943,0.001846541,0.001431244,0.001068032,0.001039943,0.001386833,0.001757617,0.001757617,0.001757617,0.001757617,0.001757617,0.001757617,0.001757617,0.001757617,0.001757617
Non-Annex_I,Central Europe,ALB,Albania,2F2a,Closed cell foam,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,2.26E-05,4.52E-05,0.00006781,9.04E-05,0.000113017,0.000128116,0.000144422,0.000362827,0.000554214,0.000857961,0.001144583,0.001349945,0.001417785,0.00155156,0.001631299,0.001659836,0.001626654,0.00167564,0.001767006,0.001913591,0.002009237,0.002120436,0.002238245,0.002346464,0.002458873
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2C,Production of metals,C2F6,fossil,0.0038346,0.00525866,0.0053812,0.0053152,0.0054164,0.0022266,0.0023265,0.0034128,0.00386648,0.0039663,0.004824,0.003752,0.003766,0.00392,0.00873489,0.00941935,0.00789341,0.00622684,0.00356689,0.0040392,0.0056,0.007,0.005442,0.005535,0.004592,0.007191,0.004942,0.0052,0.00528,0.005408663,0.004425625,0.004552907,0.004683849,0.004442245
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2C,Production of metals,CF4,fossil,0.033117,0.0454157,0.046474,0.045904,0.046778,0.017318,0.018095,0.026544,0.0309318,0.030849,0.03752,0.03216,0.03228,0.0336,0.0335958,0.021737,0.0315736,0.0622684,0.0356689,0.030294,0.042,0.05425,0.047164,0.042435,0.048216,0.059925,0.051891,0.0546,0.05544,0.056790956,0.046469063,0.047805522,0.049180418,0.046643571
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F1a,Commerical refrigeration,HFC-125,fossil,0,0,0,0,0,0,0,0,0.001854137,0.040742204,0.111598888,0.190509552,0.273105107,0.357338921,0.45987174,0.570396659,0.588402525,0.562600217,0.564155658,0.581334079,0.515601087,0.497408755,0.510786547,0.535314476,0.559842406,0.584370336,0.647845962,0.708058908,0.777812177,0.842292791,0.9071084,0.973458231,1.038673582,1.104133846
