; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1803,0.024856862,0,0,0,0,0,105.0108,0,4271.7009,220.7459419,0,0,0,0,9.275844197,-0.012194031,0.185179556,0.007723273,0,0
1804,0.024856862,0,0,0,0,0,105.0121,0,4271.7691,221.2707489,0,0,0,0,9.268144917,-0.012432815,0.185566583,0.007723273,0,0
1805,0.024856862,0,0,0,0,0,104.98963,0,4270.588,221.083767,0,0,0,0,9.268815125,-0.0126716,0.185696593,0.007723273,0,0
1806,0.024856862,0,0,0,0,0,104.98239,0,4270.2074,221.3750254,0,0,0,0,9.264055423,-0.012910385,0.185740259,0.007723273,0,0
1807,0.024856862,0,0,0,0,0,104.99423,0,4270.8298,221.631048,0,0,0,0,9.241186734,-0.01314917,0.185754929,0.007723273,0,0
1808,0.024856862,0,0,0,0,0,104.95199,0,4268.6094,221.3090976,0,0,0,0,9.253070635,-0.013387954,0.185759857,0.007723273,0,0
1809,0.024856862,0,0,0,0,0,104.979,0,4270.0292,221.9327897,0,0,0,0,9.249631835,-0.013626739,-3.365688134,0.007723273,0,0
1810,0.024856862,0,0,0,0,0,104.93988,0,4267.9729,222.4732839,0,0,0,0,9.259185778,-0.013865524,-2.313830028,0.007723273,0,0
1811,0.024856862,0,0,0,0,0,104.96903,0,4269.505,223.3931737,0,0,0,0,9.267300222,-0.014104308,-0.712301621,0.007723273,0,0
1812,0.024856862,0,0,0,0,0,104.99029,0,4270.6225,223.8171397,0,0,0,0,9.266661403,-0.014343093,-0.118562997,0.007723273,0,0
1813,0.024856862,0,0,0,0,0,104.97005,0,4269.5589,223.798665,0,0,0,0,9.244405495,-0.014581878,0.083415406,0.007723273,0,0
1814,0.024856862,0,0,0,0,0,104.93884,0,4267.9182,222.1537094,0,0,0,0,9.249847398,-0.014820663,0.151377418,0.007723273,0,0
1815,0.024856862,0,0,0,0,0,104.94955,0,4268.4808,223.2288791,0,0,0,0,9.25826679,-0.015059447,-3.341804901,0.007723273,0,0
1816,0.024856862,0,0,0,0,0,104.93504,0,4267.7184,223.2217415,0,0,0,0,9.250828127,-0.015383422,-4.328813792,0.007723273,0,0
